"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000138670",2.02395231005995,10.690309613989,106.262035219847,0,0,4590.72816983648
"ENSG00000169783",1.83770826293302,10.6186502643216,92.5552452736553,0,0,3635.92507154117
"ENSG00000251562",1.05163706834978,17.0202239600819,78.9627921625459,0,0,2751.52447778598
